drift,unbalance,type,alg,mean,std
sea_P(x_y),4,incremental,improved_UOB,64.28569471423812,1.4210854715202004e-14
sea_P(x_y),4,incremental,WEOB2,63.31820549499165,0.0
sea_P(x_y),4,incremental,UOB,63.741756811259926,7.105427357601002e-15
sea_P(x_y),4,incremental,CSMOTE,64.4630724709406,1.4210854715202004e-14
sea_P(x_y),4,incremental,RebalanceStream,64.26318972283403,0.0
sea_P(x_y),4,sudden,improved_OOB,64.53613840787742,1.4210854715202004e-14
sea_P(x_y),4,sudden,WEOB1,64.48800681213663,0.0
sea_P(x_y),4,sudden,OOB,64.87327849749587,1.4210854715202004e-14
sea_P(x_y),4,sudden,ESOS_ELM,60.64606312660002,0.04434656083502963
sea_P(x_y),4,sudden,improved_UOB,64.275923607541,0.0
sea_P(x_y),4,sudden,WEOB2,64.02276092279774,0.0
sea_P(x_y),4,sudden,UOB,63.96318752088323,0.0
sea_P(x_y),4,sudden,CSMOTE,64.48747065871729,0.0
sea_P(x_y),4,sudden,RebalanceStream,64.08815821555008,1.4210854715202004e-14
sine_P(y),4,incremental,improved_OOB,70.40739719825709,0.0
sine_P(y),4,incremental,WEOB1,70.40139315245825,0.0
sine_P(y),4,incremental,OOB,70.35740360068534,1.4210854715202004e-14
sine_P(y),4,incremental,ESOS_ELM,65.66472448896522,0.014325638734868567
sine_P(y),4,incremental,improved_UOB,70.3401675434582,0.0
sine_P(y),4,incremental,WEOB2,70.32583325260615,0.0
sine_P(y),4,incremental,UOB,70.35740360068534,1.4210854715202004e-14
sine_P(y),4,incremental,CSMOTE,70.23195682581878,0.0
sine_P(y),4,incremental,RebalanceStream,70.21797504600305,0.0
sine_P(y),4,sudden,improved_OOB,70.38608293976185,0.0
sine_P(y),4,sudden,WEOB1,70.38552894288361,0.0
sine_P(y),4,sudden,OOB,70.34231360008266,0.0
sine_P(y),4,sudden,ESOS_ELM,65.46640787428781,0.013181357472633156
sine_P(y),4,sudden,improved_UOB,70.32622991752399,1.4210854715202004e-14
sine_P(y),4,sudden,WEOB2,70.30346378625703,0.0
