drift,unbalance,type,alg,Gmean
sine_P(y_x),4,sudden,RebalanceStream,1.0105844436865552
sine_P(y_x),3,sudden,improved_OOB,1.0162049377574032
sine_P(y_x),3,sudden,WEOB1,1.015002541725808
sine_P(y_x),3,sudden,OOB,1.0162543080818935
sine_P(y_x),3,sudden,improved_UOB,1.011511773371817
sine_P(y_x),3,sudden,WEOB2,0.9209091950854408
sine_P(y_x),3,sudden,UOB,1.009034506393725
sine_P(y_x),3,sudden,CSMOTE,1.0015565250527647
sine_P(y_x),3,sudden,RebalanceStream,1.009526212531148
sine_P(y_x),3,incremental,improved_OOB,1.0228654750864947
sine_P(y_x),3,incremental,WEOB1,1.022267960239267
sine_P(y_x),3,incremental,OOB,1.0209409679263979
sine_P(y_x),3,incremental,improved_UOB,1.0184019558555515
sine_P(y_x),3,incremental,WEOB2,0.8811351275356424
sine_P(y_x),3,incremental,UOB,1.0149460943070137
sine_P(y_x),3,incremental,CSMOTE,1.007131994588887
sine_P(y_x),3,incremental,RebalanceStream,1.0123104244607444
sine_P(y_x),1,sudden,improved_OOB,1.0437420403225497
sine_P(y_x),1,sudden,WEOB1,1.0445464488606504
sine_P(y_x),1,sudden,OOB,1.0440137742269577
sine_P(y_x),1,sudden,improved_UOB,1.0144795901523829
sine_P(y_x),1,sudden,WEOB2,0.8562156440782255
sine_P(y_x),1,sudden,UOB,0.9982919958264339
sine_P(y_x),1,sudden,CSMOTE,0.9848582833205336
sine_P(y_x),1,sudden,RebalanceStream,1.0138522232122662
sine_P(y_x),1,incremental,improved_OOB,1.04730870132701
sine_P(y_x),1,incremental,WEOB1,1.0482951225271133
sine_P(y_x),1,incremental,OOB,1.048518193685291
sine_P(y_x),1,incremental,improved_UOB,1.0243137332277459
sine_P(y_x),1,incremental,WEOB2,0.8312917971362263
sine_P(y_x),1,incremental,UOB,1.0184046154203092
sine_P(y_x),1,incremental,CSMOTE,0.9964988486807276
sine_P(y_x),1,incremental,RebalanceStream,0.9853689879955758
sine_P(y_x),2,incremental,improved_OOB,1.0333190858581183
sine_P(y_x),2,incremental,WEOB1,1.032621710095474
sine_P(y_x),2,incremental,OOB,1.0346444679213234
sine_P(y_x),2,incremental,improved_UOB,1.0256872662279928
sine_P(y_x),2,incremental,WEOB2,0.8444194863916321
sine_P(y_x),2,incremental,UOB,1.025582085992015
sine_P(y_x),2,incremental,CSMOTE,1.0073798729941326
sine_P(y_x),2,incremental,RebalanceStream,0.9963460245193115
sine_P(y_x),2,sudden,improved_OOB,1.0340485970631146
sine_P(y_x),2,sudden,WEOB1,1.0337399702062287
sine_P(y_x),2,sudden,OOB,1.036160798752804
sine_P(y_x),2,sudden,improved_UOB,1.0196649532349908
sine_P(y_x),2,sudden,WEOB2,0.8340348983757802
sine_P(y_x),2,sudden,UOB,1.0159927424903252
sine_P(y_x),2,sudden,CSMOTE,1.0074426923946451
sine_P(y_x),2,sudden,RebalanceStream,1.0189153474821127
sine_P(x_y),4,incremental,improved_OOB,1.0015109222185141
sine_P(x_y),4,incremental,WEOB1,1.0012098637336437
sine_P(x_y),4,incremental,OOB,1.0013482060235828
sine_P(x_y),4,incremental,improved_UOB,0.9997780993661258
sine_P(x_y),4,incremental,WEOB2,0.998975334536614
sine_P(x_y),4,incremental,UOB,1.001348206023583
sine_P(x_y),4,incremental,CSMOTE,0.9989347687688602
sine_P(x_y),4,incremental,RebalanceStream,0.996894599329076
sine_P(x_y),4,sudden,improved_OOB,1.0013230320370279
sine_P(x_y),4,sudden,WEOB1,1.00100871643427
sine_P(x_y),4,sudden,OOB,1.001222317591965
sine_P(x_y),4,sudden,improved_UOB,0.999660006772315
sine_P(x_y),4,sudden,WEOB2,0.9993502428558133
sine_P(x_y),4,sudden,UOB,1.001222317591965
sine_P(x_y),4,sudden,CSMOTE,0.9988413712086097
sine_P(x_y),4,sudden,RebalanceStream,0.9973719955080332
sine_P(x_y),3,sudden,improved_OOB,1.001657231745691
sine_P(x_y),3,sudden,WEOB1,1.0018905087330134
sine_P(x_y),3,sudden,OOB,1.0020686870254785
sine_P(x_y),3,sudden,improved_UOB,1.0000114756205964
sine_P(x_y),3,sudden,WEOB2,0.9994691563236572
sine_P(x_y),3,sudden,UOB,0.9986251486936505
sine_P(x_y),3,sudden,CSMOTE,0.9993612215100256
sine_P(x_y),3,sudden,RebalanceStream,0.9969165703478872
sine_P(x_y),3,incremental,improved_OOB,1.0018688438706846
sine_P(x_y),3,incremental,WEOB1,1.0023647458035614
sine_P(x_y),3,incremental,OOB,1.0024505134512667
sine_P(x_y),3,incremental,improved_UOB,1.000346645992445
sine_P(x_y),3,incremental,WEOB2,0.9996965233760934
sine_P(x_y),3,incremental,UOB,0.9987322112937503
sine_P(x_y),3,incremental,CSMOTE,0.9999911318702813
sine_P(x_y),3,incremental,RebalanceStream,0.994549384341917
sine_P(x_y),1,sudden,improved_OOB,1.0052752558611628
sine_P(x_y),1,sudden,WEOB1,1.0068149294835074
sine_P(x_y),1,sudden,OOB,1.0052761417847447
sine_P(x_y),1,sudden,improved_UOB,1.0041645665782168
sine_P(x_y),1,sudden,WEOB2,1.0014533165000117
sine_P(x_y),1,sudden,UOB,1.002660998053236
sine_P(x_y),1,sudden,CSMOTE,0.9837890161675327
sine_P(x_y),1,sudden,RebalanceStream,0.9905657755715881
sine_P(x_y),1,incremental,improved_OOB,1.0050252055821032
sine_P(x_y),1,incremental,WEOB1,1.0065521374008277
sine_P(x_y),1,incremental,OOB,1.005371391133195
sine_P(x_y),1,incremental,improved_UOB,1.00450993074766
sine_P(x_y),1,incremental,WEOB2,1.0014776516460882
sine_P(x_y),1,incremental,UOB,1.0029975836606033
sine_P(x_y),1,incremental,CSMOTE,0.983365333859127
sine_P(x_y),1,incremental,RebalanceStream,0.9907007659703949
sine_P(x_y),2,incremental,improved_OOB,1.0031460291499303
sine_P(x_y),2,incremental,WEOB1,1.0033704028590487
sine_P(x_y),2,incremental,OOB,1.0034944730023703
sine_P(x_y),2,incremental,improved_UOB,1.0006236736365837
sine_P(x_y),2,incremental,WEOB2,1.0002166888650297
sine_P(x_y),2,incremental,UOB,0.9992827741326212
sine_P(x_y),2,incremental,CSMOTE,0.9939616816331606
sine_P(x_y),2,incremental,RebalanceStream,0.9959042767212559
sine_P(x_y),2,sudden,improved_OOB,1.0028278003956606
sine_P(x_y),2,sudden,WEOB1,1.0031794051015712
sine_P(x_y),2,sudden,OOB,1.0031106050319671
sine_P(x_y),2,sudden,improved_UOB,1.0002297348497629
sine_P(x_y),2,sudden,WEOB2,0.9999979186713506
sine_P(x_y),2,sudden,UOB,0.9989725922985986
sine_P(x_y),2,sudden,CSMOTE,0.995991816899612
sine_P(x_y),2,sudden,RebalanceStream,0.9956901267514767
jitter,1,incremental,improved_OOB,1.0313768402861023
jitter,1,incremental,WEOB1,1.038173192544351
jitter,1,incremental,CSMOTE,0.9932686071152544
jitter,1,incremental,OOB,1.0343466106759456
jitter,1,incremental,improved_UOB,1.0161401040686606
jitter,1,incremental,WEOB2,1.0142760407534326
jitter,1,incremental,UOB,1.0145345526350709
jitter,1,incremental,RebalanceStream,0.857884051921182
jitter,1,sudden,improved_OOB,1.033329483669142
jitter,1,sudden,WEOB1,1.0333937350981703
jitter,1,sudden,CSMOTE,0.9880114899686864
jitter,1,sudden,OOB,1.0333395660534577
jitter,1,sudden,improved_UOB,1.0053404396665733
jitter,1,sudden,WEOB2,0.9911123060810243
jitter,1,sudden,UOB,0.9983176486968626
jitter,1,sudden,RebalanceStream,0.9171553307660821
jitter,1,periodic,improved_OOB,1.0313768402861023
jitter,1,periodic,WEOB1,1.038173192544351
jitter,1,periodic,CSMOTE,0.9932686071152544
jitter,1,periodic,OOB,1.0343466106759456
jitter,1,periodic,improved_UOB,1.0161401040686606
jitter,1,periodic,WEOB2,1.0142760407534326
jitter,1,periodic,UOB,1.0145345526350709
jitter,1,periodic,RebalanceStream,0.857884051921182
jitter,2,incremental,improved_OOB,1.0219670867123047
jitter,2,incremental,WEOB1,1.0219819571751747
jitter,2,incremental,CSMOTE,0.99030440341027
jitter,2,incremental,OOB,1.0270451081050498
jitter,2,incremental,improved_UOB,0.9902297442694545
jitter,2,incremental,WEOB2,0.9998335826195787
jitter,2,incremental,UOB,0.9973082185449249
jitter,2,incremental,RebalanceStream,0.951329899163242
jitter,2,sudden,improved_OOB,1.0187645632127798
jitter,2,sudden,WEOB1,1.0171213290897734
jitter,2,sudden,CSMOTE,0.9849315325482183
jitter,2,sudden,OOB,1.021336722353108
jitter,2,sudden,improved_UOB,1.0008212378218293
jitter,2,sudden,WEOB2,0.9873946122106338
jitter,2,sudden,UOB,0.9964455935014515
jitter,2,sudden,RebalanceStream,0.9731844092622056
jitter,2,periodic,improved_OOB,1.0219670867123047
jitter,2,periodic,WEOB1,1.0219819571751747
jitter,2,periodic,CSMOTE,0.99030440341027
jitter,2,periodic,OOB,1.0270451081050498
jitter,2,periodic,improved_UOB,0.9902297442694545
jitter,2,periodic,WEOB2,0.9998335826195787
jitter,2,periodic,UOB,0.9973082185449249
jitter,2,periodic,RebalanceStream,0.951329899163242
jitter,3,incremental,improved_OOB,1.0115843358707897
jitter,3,incremental,WEOB1,1.0095114358021091
jitter,3,incremental,CSMOTE,0.987225530754111
jitter,3,incremental,OOB,1.0121491652219299
jitter,3,incremental,improved_UOB,1.0031449912163282
jitter,3,incremental,WEOB2,0.9931179011491404
jitter,3,incremental,UOB,0.9976064088256892
jitter,3,incremental,RebalanceStream,0.9856602311599019
jitter,3,sudden,improved_OOB,1.0133768830737697
jitter,3,sudden,WEOB1,1.0109462271204581
jitter,3,sudden,CSMOTE,0.9816548566960174
jitter,3,sudden,OOB,1.0137184204971468
jitter,3,sudden,improved_UOB,1.0034342542013175
jitter,3,sudden,WEOB2,0.983639075910873
jitter,3,sudden,UOB,0.9968829742419607
jitter,3,sudden,RebalanceStream,0.9963473082584572
jitter,3,periodic,improved_OOB,1.0115843358707897
jitter,3,periodic,WEOB1,1.0095114358021091
jitter,3,periodic,CSMOTE,0.987225530754111
jitter,3,periodic,OOB,1.0121491652219299
jitter,3,periodic,improved_UOB,1.0031449912163282
jitter,3,periodic,WEOB2,0.9931179011491404
jitter,3,periodic,UOB,0.9976064088256892
jitter,3,periodic,RebalanceStream,0.9856602311599019
jitter,4,incremental,improved_OOB,1.0114231129322135
jitter,4,incremental,WEOB1,1.0086235785288813
jitter,4,incremental,CSMOTE,0.9891867849639683
jitter,4,incremental,OOB,1.0050646334086304
jitter,4,incremental,improved_UOB,0.9955794625376702
jitter,4,incremental,WEOB2,0.9916777896547873
jitter,4,incremental,UOB,1.0050646334086304
jitter,4,incremental,RebalanceStream,0.9933800045652185
jitter,4,sudden,improved_OOB,1.009079837271449
jitter,4,sudden,WEOB1,1.0078206502734348
jitter,4,sudden,CSMOTE,0.9825980100589774
jitter,4,sudden,OOB,1.007123901975809
jitter,4,sudden,improved_UOB,1.0030923462255306
jitter,4,sudden,WEOB2,0.9783991774002513
jitter,4,sudden,UOB,1.007123901975809
jitter,4,sudden,RebalanceStream,1.0047621748187385
jitter,4,periodic,improved_OOB,1.0114231129322135
jitter,4,periodic,WEOB1,1.0086235785288813
jitter,4,periodic,CSMOTE,0.9891867849639683
jitter,4,periodic,OOB,1.0050646334086304
jitter,4,periodic,improved_UOB,0.9955794625376702
jitter,4,periodic,WEOB2,0.9916777896547873
jitter,4,periodic,UOB,1.0050646334086304
jitter,4,periodic,RebalanceStream,0.9933800045652185
disappearing-minority,1,incremental,improved_OOB,1.0291171671224602
disappearing-minority,1,incremental,WEOB1,1.0289681025742956
disappearing-minority,1,incremental,CSMOTE,1.003297321870287
disappearing-minority,1,incremental,OOB,1.0293851302543382
disappearing-minority,1,incremental,improved_UOB,1.009317839284685
disappearing-minority,1,incremental,WEOB2,1.0081958916997182
disappearing-minority,1,incremental,UOB,1.008060314421829
disappearing-minority,1,incremental,RebalanceStream,0.8836582327723873
disappearing-minority,1,sudden,improved_OOB,1.025726368127522
disappearing-minority,1,sudden,WEOB1,1.0269435135550715
