instances,drift,unbalance,type,alg,KappaT
5000,sea_P(y),1,incremental,WEOB2,92.66693163751987
10000,sea_P(y),1,incremental,WEOB2,94.49821499404996
15000,sea_P(y),1,incremental,WEOB2,95.51724137931036
20000,sea_P(y),1,incremental,WEOB2,96.1404917210236
25000,sea_P(y),1,incremental,WEOB2,96.51382765531062
30000,sea_P(y),1,incremental,WEOB2,96.76242132047675
35000,sea_P(y),1,incremental,WEOB2,97.00665824819194
40000,sea_P(y),1,incremental,WEOB2,97.25534477566998
45000,sea_P(y),1,incremental,WEOB2,97.4195847812528
50000,sea_P(y),1,incremental,WEOB2,98.4432945235015
55000,sea_P(y),1,incremental,WEOB2,98.14365199797672
60000,sea_P(y),1,incremental,WEOB2,96.27928772258669
65000,sea_P(y),1,incremental,WEOB2,95.45592705167172
70000,sea_P(y),1,incremental,WEOB2,95.49650349650348
75000,sea_P(y),1,incremental,WEOB2,95.47800108636612
80000,sea_P(y),1,incremental,WEOB2,95.25241439859526
85000,sea_P(y),1,incremental,WEOB2,95.11271249076127
90000,sea_P(y),1,incremental,WEOB2,95.31181102362206
95000,sea_P(y),1,incremental,WEOB2,95.40547945205479
100000,sea_P(y),1,incremental,WEOB2,95.39824089909601
5000,sea_P(y),1,incremental,UOB,93.47774244833069
10000,sea_P(y),1,incremental,UOB,95.28560095200316
15000,sea_P(y),1,incremental,UOB,96.1776061776062
20000,sea_P(y),1,incremental,UOB,96.69041645760163
25000,sea_P(y),1,incremental,UOB,97.01723446893787
30000,sea_P(y),1,incremental,UOB,97.24989955805543
35000,sea_P(y),1,incremental,UOB,97.46527379175754
40000,sea_P(y),1,incremental,UOB,97.6733915487303
45000,sea_P(y),1,incremental,UOB,97.80807270783212
50000,sea_P(y),1,incremental,UOB,98.61147046140579
55000,sea_P(y),1,incremental,UOB,98.52807283763278
60000,sea_P(y),1,incremental,UOB,98.1911902530459
65000,sea_P(y),1,incremental,UOB,97.8419452887538
70000,sea_P(y),1,incremental,UOB,98.07342657342657
75000,sea_P(y),1,incremental,UOB,98.32428028245518
80000,sea_P(y),1,incremental,UOB,98.3955223880597
85000,sea_P(y),1,incremental,UOB,98.45343680709534
90000,sea_P(y),1,incremental,UOB,98.49291338582677
95000,sea_P(y),1,incremental,UOB,98.57123287671234
100000,sea_P(y),1,incremental,UOB,98.62814561446372
5000,sea_P(y),1,incremental,CSMOTE,93.08426073131956
10000,sea_P(y),1,incremental,CSMOTE,94.6846489488298
