instances,drift,unbalance,type,alg,Gmean
75000,sea_P(y),1,incremental,improved_UOB,70.54177339331828
80000,sea_P(y),1,incremental,improved_UOB,70.535218752833
85000,sea_P(y),1,incremental,improved_UOB,70.53297235522182
90000,sea_P(y),1,incremental,improved_UOB,70.53607574934871
95000,sea_P(y),1,incremental,improved_UOB,70.539292921584
100000,sea_P(y),1,incremental,improved_UOB,70.53994856185696
5000,sea_P(y),1,incremental,WEOB2,69.38859557834056
10000,sea_P(y),1,incremental,WEOB2,69.72113468951574
15000,sea_P(y),1,incremental,WEOB2,69.91264206655363
20000,sea_P(y),1,incremental,WEOB2,70.02857641318431
25000,sea_P(y),1,incremental,WEOB2,70.09458675472709
30000,sea_P(y),1,incremental,WEOB2,70.13945065865293
35000,sea_P(y),1,incremental,WEOB2,70.18352773748376
40000,sea_P(y),1,incremental,WEOB2,70.22725396891123
45000,sea_P(y),1,incremental,WEOB2,70.2576385121175
50000,sea_P(y),1,incremental,WEOB2,70.50001377902638
55000,sea_P(y),1,incremental,WEOB2,70.51753486085238
60000,sea_P(y),1,incremental,WEOB2,70.54565701795852
65000,sea_P(y),1,incremental,WEOB2,70.52646699960948
70000,sea_P(y),1,incremental,WEOB2,70.53463600269819
75000,sea_P(y),1,incremental,WEOB2,70.54177339331828
80000,sea_P(y),1,incremental,WEOB2,70.535218752833
85000,sea_P(y),1,incremental,WEOB2,70.53297235522182
90000,sea_P(y),1,incremental,WEOB2,70.53607574934871
95000,sea_P(y),1,incremental,WEOB2,70.539292921584
100000,sea_P(y),1,incremental,WEOB2,70.53994856185696
5000,sea_P(y),1,incremental,UOB,69.53608094035101
10000,sea_P(y),1,incremental,UOB,69.86374947717846
15000,sea_P(y),1,incremental,UOB,70.03079058874245
20000,sea_P(y),1,incremental,UOB,70.12616987084499
25000,sea_P(y),1,incremental,UOB,70.18385416651168
30000,sea_P(y),1,incremental,UOB,70.22573734471638
35000,sea_P(y),1,incremental,UOB,70.26451457662985
40000,sea_P(y),1,incremental,UOB,70.30106616611221
45000,sea_P(y),1,incremental,UOB,70.32593615220208
50000,sea_P(y),1,incremental,UOB,70.52422782418869
55000,sea_P(y),1,incremental,UOB,70.55425566267576
60000,sea_P(y),1,incremental,UOB,70.61791270120663
65000,sea_P(y),1,incremental,UOB,70.56877441797046
70000,sea_P(y),1,incremental,UOB,70.57395731390473
75000,sea_P(y),1,incremental,UOB,70.58633657248728
80000,sea_P(y),1,incremental,UOB,70.57681218580547
85000,sea_P(y),1,incremental,UOB,70.5695155468962
90000,sea_P(y),1,incremental,UOB,70.56071428065601
95000,sea_P(y),1,incremental,UOB,70.55903068874863
100000,sea_P(y),1,incremental,UOB,70.55899571683688
5000,sea_P(y),1,incremental,CSMOTE,69.46543250518359
10000,sea_P(y),1,incremental,CSMOTE,69.75539162643994
15000,sea_P(y),1,incremental,CSMOTE,69.90239856579475
20000,sea_P(y),1,incremental,CSMOTE,69.98663730552074
25000,sea_P(y),1,incremental,CSMOTE,70.03860345166835
30000,sea_P(y),1,incremental,CSMOTE,70.05080365544849
35000,sea_P(y),1,incremental,CSMOTE,70.08507398472001
40000,sea_P(y),1,incremental,CSMOTE,70.1272282454408
45000,sea_P(y),1,incremental,CSMOTE,70.15683345928277
50000,sea_P(y),1,incremental,CSMOTE,70.37657479895769
55000,sea_P(y),1,incremental,CSMOTE,70.42724717378022
60000,sea_P(y),1,incremental,CSMOTE,70.44192034221216
65000,sea_P(y),1,incremental,CSMOTE,70.38587856241512
70000,sea_P(y),1,incremental,CSMOTE,70.43300814271186
75000,sea_P(y),1,incremental,CSMOTE,70.46424963950632
80000,sea_P(y),1,incremental,CSMOTE,70.42472331545721
85000,sea_P(y),1,incremental,CSMOTE,70.42189721589789
90000,sea_P(y),1,incremental,CSMOTE,70.4380373253834
95000,sea_P(y),1,incremental,CSMOTE,70.45014556692765
100000,sea_P(y),1,incremental,CSMOTE,70.46919345969671
5000,sea_P(y),1,incremental,RebalanceStream,69.47256152191234
10000,sea_P(y),1,incremental,RebalanceStream,69.78806574227859
15000,sea_P(y),1,incremental,RebalanceStream,69.92382643449989
20000,sea_P(y),1,incremental,RebalanceStream,70.00423573362744
25000,sea_P(y),1,incremental,RebalanceStream,70.05679804714943
30000,sea_P(y),1,incremental,RebalanceStream,70.09220211032687
35000,sea_P(y),1,incremental,RebalanceStream,70.1325590161689
40000,sea_P(y),1,incremental,RebalanceStream,70.16605868608416
45000,sea_P(y),1,incremental,RebalanceStream,70.18774693269185
50000,sea_P(y),1,incremental,RebalanceStream,70.38001871854873
55000,sea_P(y),1,incremental,RebalanceStream,70.43309180918756
60000,sea_P(y),1,incremental,RebalanceStream,70.38681440216877
65000,sea_P(y),1,incremental,RebalanceStream,70.34996083180883
70000,sea_P(y),1,incremental,RebalanceStream,70.36986371134948
75000,sea_P(y),1,incremental,RebalanceStream,70.40071820251408
80000,sea_P(y),1,incremental,RebalanceStream,70.39910088682186
85000,sea_P(y),1,incremental,RebalanceStream,70.40849575413665
90000,sea_P(y),1,incremental,RebalanceStream,70.40235960135583
95000,sea_P(y),1,incremental,RebalanceStream,70.39707128793863
100000,sea_P(y),1,incremental,RebalanceStream,70.40318301003107
5000,sea_P(y),3,incremental,improved_OOB,63.1784145656256
10000,sea_P(y),3,incremental,improved_OOB,63.76200969665896
15000,sea_P(y),3,incremental,improved_OOB,64.08095148469948
20000,sea_P(y),3,incremental,improved_OOB,64.21949272890905
25000,sea_P(y),3,incremental,improved_OOB,64.348244894818
30000,sea_P(y),3,incremental,improved_OOB,64.38167706824387
35000,sea_P(y),3,incremental,improved_OOB,64.47558020061614
40000,sea_P(y),3,incremental,improved_OOB,64.5273612550527
45000,sea_P(y),3,incremental,improved_OOB,64.5706860274352
50000,sea_P(y),3,incremental,improved_OOB,65.11065525528613
55000,sea_P(y),3,incremental,improved_OOB,65.1897239059496
60000,sea_P(y),3,incremental,improved_OOB,65.01659554328519
65000,sea_P(y),3,incremental,improved_OOB,65.06345518623804
70000,sea_P(y),3,incremental,improved_OOB,64.91919465026294
75000,sea_P(y),3,incremental,improved_OOB,65.04754363939773
80000,sea_P(y),3,incremental,improved_OOB,65.01374146352398
85000,sea_P(y),3,incremental,improved_OOB,65.07147305495172
90000,sea_P(y),3,incremental,improved_OOB,65.08276366945408
95000,sea_P(y),3,incremental,improved_OOB,65.0903520400385
100000,sea_P(y),3,incremental,improved_OOB,65.081460155262
5000,sea_P(y),3,incremental,WEOB1,63.176054480176006
10000,sea_P(y),3,incremental,WEOB1,63.724278397434624
15000,sea_P(y),3,incremental,WEOB1,64.05132893237659
20000,sea_P(y),3,incremental,WEOB1,64.20696396230146
25000,sea_P(y),3,incremental,WEOB1,64.33718207192119
30000,sea_P(y),3,incremental,WEOB1,64.37193248855019
35000,sea_P(y),3,incremental,WEOB1,64.46426048622645
40000,sea_P(y),3,incremental,WEOB1,64.51396782513962
45000,sea_P(y),3,incremental,WEOB1,64.5553927251114
50000,sea_P(y),3,incremental,WEOB1,65.0997132954872
55000,sea_P(y),3,incremental,WEOB1,65.1671665499768
60000,sea_P(y),3,incremental,WEOB1,65.02383259040153
65000,sea_P(y),3,incremental,WEOB1,65.05297072896307
70000,sea_P(y),3,incremental,WEOB1,64.9074754053827
75000,sea_P(y),3,incremental,WEOB1,65.0351677616911
80000,sea_P(y),3,incremental,WEOB1,65.0013728874438
85000,sea_P(y),3,incremental,WEOB1,65.05073615289064
90000,sea_P(y),3,incremental,WEOB1,65.05897314772507
95000,sea_P(y),3,incremental,WEOB1,65.06248117704114
100000,sea_P(y),3,incremental,WEOB1,65.05366742654934
5000,sea_P(y),3,incremental,OOB,62.98035198412914
10000,sea_P(y),3,incremental,OOB,63.62091093971683
15000,sea_P(y),3,incremental,OOB,63.980199570235605
20000,sea_P(y),3,incremental,OOB,64.13762525882541
25000,sea_P(y),3,incremental,OOB,64.2690511200282
30000,sea_P(y),3,incremental,OOB,64.29518238105095
35000,sea_P(y),3,incremental,OOB,64.38237388999185
40000,sea_P(y),3,incremental,OOB,64.43064012064835
45000,sea_P(y),3,incremental,OOB,64.47490249024298
50000,sea_P(y),3,incremental,OOB,65.02599242539233
55000,sea_P(y),3,incremental,OOB,65.08908961231087
60000,sea_P(y),3,incremental,OOB,64.96855079162545
65000,sea_P(y),3,incremental,OOB,64.98421395216732
70000,sea_P(y),3,incremental,OOB,64.83585520272074
75000,sea_P(y),3,incremental,OOB,64.96849952834981
80000,sea_P(y),3,incremental,OOB,64.94470286760902
85000,sea_P(y),3,incremental,OOB,65.00376810397835
90000,sea_P(y),3,incremental,OOB,65.01536485187282
95000,sea_P(y),3,incremental,OOB,65.0221493554192
100000,sea_P(y),3,incremental,OOB,65.01598068794235
5000,sea_P(y),3,incremental,ESOS_ELM,0.0
10000,sea_P(y),3,incremental,ESOS_ELM,0.0
15000,sea_P(y),3,incremental,ESOS_ELM,55.23151758541578
20000,sea_P(y),3,incremental,ESOS_ELM,57.563730889717476
25000,sea_P(y),3,incremental,ESOS_ELM,58.96566434864851
30000,sea_P(y),3,incremental,ESOS_ELM,59.844406821666894
35000,sea_P(y),3,incremental,ESOS_ELM,60.50311909347308
40000,sea_P(y),3,incremental,ESOS_ELM,60.97196726486918
45000,sea_P(y),3,incremental,ESOS_ELM,61.32918220099771
50000,sea_P(y),3,incremental,ESOS_ELM,64.40479773429402
55000,sea_P(y),3,incremental,ESOS_ELM,64.45797710772831
60000,sea_P(y),3,incremental,ESOS_ELM,64.37520662762695
65000,sea_P(y),3,incremental,ESOS_ELM,64.40353914919179
70000,sea_P(y),3,incremental,ESOS_ELM,64.2621735625456
75000,sea_P(y),3,incremental,ESOS_ELM,64.38546256621203
80000,sea_P(y),3,incremental,ESOS_ELM,64.35586347962756
85000,sea_P(y),3,incremental,ESOS_ELM,64.42971904575414
90000,sea_P(y),3,incremental,ESOS_ELM,64.44847991507523
95000,sea_P(y),3,incremental,ESOS_ELM,64.44536437873946
100000,sea_P(y),3,incremental,ESOS_ELM,64.44882336508326
5000,sea_P(y),3,incremental,improved_UOB,62.89200298169722
10000,sea_P(y),3,incremental,improved_UOB,63.509333351315284
15000,sea_P(y),3,incremental,improved_UOB,63.88406695706338
20000,sea_P(y),3,incremental,improved_UOB,64.08406654200223
25000,sea_P(y),3,incremental,improved_UOB,64.23784119980938
30000,sea_P(y),3,incremental,improved_UOB,64.28700641745378
35000,sea_P(y),3,incremental,improved_UOB,64.3874467681056
40000,sea_P(y),3,incremental,improved_UOB,64.44096488825713
45000,sea_P(y),3,incremental,improved_UOB,64.48760079415842
50000,sea_P(y),3,incremental,improved_UOB,65.06148070725149
55000,sea_P(y),3,incremental,improved_UOB,65.12020954244711
60000,sea_P(y),3,incremental,improved_UOB,64.9409167734024
65000,sea_P(y),3,incremental,improved_UOB,64.97706632627776
70000,sea_P(y),3,incremental,improved_UOB,64.82615616107097
75000,sea_P(y),3,incremental,improved_UOB,64.9575126468327
80000,sea_P(y),3,incremental,improved_UOB,64.92408042639379
85000,sea_P(y),3,incremental,improved_UOB,64.97403435842898
