drift,unbalance,type,alg,exp,gmean
sea_P(y),2,sudden,WEOB1,0,64.64213882771409
sea_P(y),2,sudden,WEOB1,1,64.6193988432596
sea_P(y),2,sudden,WEOB1,2,64.59313530191483
sea_P(y),2,sudden,WEOB1,3,64.65128750058278
sea_P(y),2,sudden,WEOB1,4,64.62152313991729
sea_P(y),2,sudden,WEOB1,5,64.59580003774836
sea_P(y),2,sudden,WEOB1,6,64.63961140950948
sea_P(y),2,sudden,WEOB1,7,64.6040620925136
sea_P(y),2,sudden,WEOB1,8,64.6561332352662
sea_P(y),2,sudden,WEOB1,9,64.60267988966976
sea_P(y),2,sudden,OOB,0,64.52699023940436
sea_P(y),2,sudden,OOB,1,64.49353677850826
sea_P(y),2,sudden,OOB,2,64.53181906104014
sea_P(y),2,sudden,OOB,3,64.53273123799336
sea_P(y),2,sudden,OOB,4,64.60622497834439
sea_P(y),2,sudden,OOB,5,64.47617792968546
sea_P(y),2,sudden,OOB,6,64.59640787491941
sea_P(y),2,sudden,OOB,7,64.64536347344577
sea_P(y),2,sudden,OOB,8,64.52858202334184
sea_P(y),2,sudden,OOB,9,64.54491879539073
sea_P(y),2,sudden,ESOS_ELM,0,61.03253861637957
sea_P(y),2,sudden,ESOS_ELM,1,60.968941537787806
sea_P(y),2,sudden,ESOS_ELM,2,61.02677124009692
sea_P(y),2,sudden,ESOS_ELM,3,60.97427190384447
sea_P(y),2,sudden,ESOS_ELM,4,61.01872868348622
sea_P(y),2,sudden,ESOS_ELM,5,60.92807970104822
sea_P(y),2,sudden,ESOS_ELM,6,60.95404165333614
sea_P(y),2,sudden,ESOS_ELM,7,60.94960157829378
sea_P(y),2,sudden,ESOS_ELM,8,60.975642822002406
sea_P(y),2,sudden,ESOS_ELM,9,60.95597196390467
sea_P(y),2,sudden,improved_UOB,0,64.57245371335208
sea_P(y),2,sudden,improved_UOB,1,64.54257485463256
sea_P(y),2,sudden,improved_UOB,2,64.50892510498281
sea_P(y),2,sudden,improved_UOB,3,64.57767184066365
sea_P(y),2,sudden,improved_UOB,4,64.5247467059717
sea_P(y),2,sudden,improved_UOB,5,64.5101859565171
sea_P(y),2,sudden,improved_UOB,6,64.53023396077471
sea_P(y),2,sudden,improved_UOB,7,64.49656733218022
sea_P(y),2,sudden,improved_UOB,8,64.54781799968309
sea_P(y),2,sudden,improved_UOB,9,64.48861512082865
sea_P(y),2,sudden,WEOB2,0,64.57245371335208
sea_P(y),2,sudden,WEOB2,1,64.54257485463256
sea_P(y),2,sudden,WEOB2,2,64.50892510498281
sea_P(y),2,sudden,WEOB2,3,64.57767184066365
sea_P(y),2,sudden,WEOB2,4,64.5247467059717
sea_P(y),2,sudden,WEOB2,5,64.5101859565171
sea_P(y),2,sudden,WEOB2,6,64.53023396077471
sea_P(y),2,sudden,WEOB2,7,64.49656733218022
sea_P(y),2,sudden,WEOB2,8,64.54781799968309
sea_P(y),2,sudden,WEOB2,9,64.48861512082865
