instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
55000,sea_P(y),1,incremental,improved_OOB,99.58974071222997,99.0502572681622
60000,sea_P(y),1,incremental,improved_OOB,99.72139128672556,98.03572575455163
65000,sea_P(y),1,incremental,improved_OOB,99.69872759807592,97.65292110121484
70000,sea_P(y),1,incremental,improved_OOB,99.74287745772835,97.9062609478145
75000,sea_P(y),1,incremental,improved_OOB,99.77108639376824,98.06029806797343
80000,sea_P(y),1,incremental,improved_OOB,99.7774867207801,98.08035653263735
85000,sea_P(y),1,incremental,improved_OOB,99.77806786694876,98.05839302460586
90000,sea_P(y),1,incremental,improved_OOB,99.7813361878269,98.09557698703772
95000,sea_P(y),1,incremental,improved_OOB,99.78977028319802,98.1763047397454
100000,sea_P(y),1,incremental,improved_OOB,99.79512097913661,98.21563752810115
5000,sea_P(y),1,incremental,WEOB1,96.51391779345795,96.67427306982432
10000,sea_P(y),1,incremental,WEOB1,97.48795080855652,97.56872060600968
15000,sea_P(y),1,incremental,WEOB1,97.99955786698152,98.0426365040318
20000,sea_P(y),1,incremental,WEOB1,98.30765806753669,98.33216180187704
25000,sea_P(y),1,incremental,WEOB1,98.48419744721912,98.49892974716181
30000,sea_P(y),1,incremental,WEOB1,98.6084191695588,98.62613350631544
35000,sea_P(y),1,incremental,WEOB1,98.72149698741615,98.73047096455204
40000,sea_P(y),1,incremental,WEOB1,98.83225126770934,98.83823307193242
45000,sea_P(y),1,incremental,WEOB1,98.91054312951562,98.90141859267808
50000,sea_P(y),1,incremental,WEOB1,99.47514415965966,99.17353951940629
55000,sea_P(y),1,incremental,WEOB1,99.55883207236174,98.97963557343742
60000,sea_P(y),1,incremental,WEOB1,99.66066451546013,97.61942314926667
65000,sea_P(y),1,incremental,WEOB1,99.62789884550986,97.12196883559002
70000,sea_P(y),1,incremental,WEOB1,99.67224253706244,97.35123483966322
75000,sea_P(y),1,incremental,WEOB1,99.69564076229668,97.44166371451908
80000,sea_P(y),1,incremental,WEOB1,99.68967601801334,97.34939845877196
85000,sea_P(y),1,incremental,WEOB1,99.68802389667107,97.29956849224638
90000,sea_P(y),1,incremental,WEOB1,99.69756913574145,97.39240916693811
95000,sea_P(y),1,incremental,WEOB1,99.70525682037467,97.46895731803723
