drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sea_P(y_x),4,incremental,improved_OOB,85.03038302811044,78.26889788000474,0.0,0.0
sea_P(y_x),4,incremental,WEOB1,84.87856129905727,78.18239819255426,1.4210854715202004e-14,0.0
sea_P(y_x),4,incremental,OOB,84.72771789811989,78.78931397478598,1.4210854715202004e-14,0.0
sea_P(y_x),4,incremental,ESOS_ELM,81.09749597804496,61.94277162365379,0.07774553311777856,0.1473689306903774
sea_P(y_x),4,incremental,improved_UOB,84.37663803667986,77.68632760762861,0.0,0.0
sea_P(y_x),4,incremental,WEOB2,82.93907140304131,71.49791677889947,1.4210854715202004e-14,0.0
sea_P(y_x),4,incremental,UOB,83.55004561044487,77.24171269899621,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y_x),4,incremental,CSMOTE,84.28894602420338,77.07298251449694,0.0,0.0
sea_P(y_x),4,incremental,RebalanceStream,84.17771598763468,76.50946680236791,0.0,0.0
sea_P(y_x),4,sudden,improved_OOB,84.98443973509949,78.38035652617066,0.0,0.0
sea_P(y_x),4,sudden,WEOB1,84.88722679721056,78.22086326320559,0.0,1.4210854715202004e-14
sea_P(y_x),4,sudden,OOB,84.77730113892997,79.2364676934806,0.0,1.4210854715202004e-14
sea_P(y_x),4,sudden,ESOS_ELM,81.21121484849324,61.83718447652819,0.13304783999649403,0.43671506856092895
sea_P(y_x),4,sudden,improved_UOB,84.419685975693,77.59199342741667,1.4210854715202004e-14,0.0
sea_P(y_x),4,sudden,WEOB2,82.4376348103982,69.42351001442499,0.0,0.0
sea_P(y_x),4,sudden,UOB,83.32791008804074,77.79005542537746,0.0,0.0
sea_P(y_x),4,sudden,CSMOTE,84.36629003563084,77.88115345992912,0.0,0.0
sea_P(y_x),4,sudden,RebalanceStream,84.26079458473279,77.05709044101523,1.4210854715202004e-14,0.0
sea_P(x_y),1,sudden,improved_OOB,94.72620198344217,62.759735047197715,1.4210854715202004e-14,0.0
sea_P(x_y),1,sudden,WEOB1,92.79533132832,57.414892977741054,0.0,0.0
sea_P(x_y),1,sudden,OOB,93.93195376474775,60.19540049911734,0.0,0.0
sea_P(x_y),1,sudden,ESOS_ELM,92.71794955463612,44.69159079693999,0.13409215619783954,0.39497869333787483
sea_P(x_y),1,sudden,improved_UOB,87.86062126260916,45.68113008328334,0.0,0.0
sea_P(x_y),1,sudden,WEOB2,86.7312663969848,43.900947811501126,0.0,0.0
sea_P(x_y),1,sudden,UOB,86.65442251596718,43.845453387155956,0.0,0.0
sea_P(x_y),1,sudden,CSMOTE,90.63654433359105,48.68540004602371,1.4210854715202004e-14,7.105427357601002e-15
sea_P(x_y),1,sudden,RebalanceStream,96.01050147334264,43.4374031441492,0.0,0.0
sea_P(x_y),1,incremental,improved_OOB,95.0485228812557,64.44427964647848,0.0,1.4210854715202004e-14
sea_P(x_y),1,incremental,WEOB1,93.23576297122075,59.69555634953591,0.0,7.105427357601002e-15
sea_P(x_y),1,incremental,OOB,94.46284146645789,63.14063307015336,1.4210854715202004e-14,7.105427357601002e-15
sea_P(x_y),1,incremental,ESOS_ELM,93.44581824196544,47.4062910684212,0.1304983596468409,0.4786650586294036
sea_P(x_y),1,incremental,improved_UOB,88.83813568294701,49.25443145774598,0.0,0.0
sea_P(x_y),1,incremental,WEOB2,89.50329804454104,52.52066850589974,1.4210854715202004e-14,0.0
sea_P(x_y),1,incremental,UOB,87.41086189847013,46.71984084193089,0.0,0.0
sea_P(x_y),1,incremental,CSMOTE,90.43128986147323,47.61631756767902,0.0,0.0
sea_P(x_y),1,incremental,RebalanceStream,96.0112678651094,44.48629281636563,0.0,0.0
sea_P(x_y),3,incremental,improved_OOB,89.71737707633781,77.33689306790664,0.0,0.0
