drift,unbalance,type,alg,Time,Mem
sea_P(x_y),1,sudden,ESOS_ELM,353.13592211570005,6981723340.8
sea_P(x_y),1,sudden,improved_UOB,2.5463679000000004,275533824.0
sea_P(x_y),1,sudden,WEOB2,29.421872099999995,537620070.4
sea_P(x_y),1,sudden,UOB,4.3489556,286334976.0
sea_P(x_y),1,sudden,RebalanceStream,31.647843299999998,2842422067.2
sea_P(x_y),1,incremental,improved_OOB,7.8927839,550691188.3636364
sea_P(x_y),1,incremental,WEOB1,9.657594900000001,520889958.4
sea_P(x_y),1,incremental,OOB,11.458751799999998,569594265.6
sea_P(x_y),1,incremental,ESOS_ELM,354.8574711071,6690243788.8
sea_P(x_y),1,incremental,improved_UOB,2.9624232,304295116.8
sea_P(x_y),1,incremental,WEOB2,31.364529899999997,520889958.4
sea_P(x_y),1,incremental,UOB,4.4248114,305515373.71428573
sea_P(x_y),1,incremental,RebalanceStream,28.8729649,2847774310.4
sea_P(x_y),3,incremental,improved_OOB,7.323850499999999,561810338.9090909
sea_P(x_y),3,incremental,WEOB1,11.553433100000001,726500966.4
sea_P(x_y),3,incremental,OOB,11.3678182,634085785.6
sea_P(x_y),3,incremental,ESOS_ELM,355.1085119306,7102267801.6
sea_P(x_y),3,incremental,improved_UOB,5.1171294000000005,391110656.0
sea_P(x_y),3,incremental,WEOB2,16.9898256,726500966.4
sea_P(x_y),3,incremental,UOB,6.3380285,382506598.4
sea_P(x_y),3,incremental,RebalanceStream,29.0689901,2573615923.2
sea_P(x_y),3,sudden,improved_OOB,8.310177399999999,551076659.2
sea_P(x_y),3,sudden,WEOB1,12.1714924,528422912.0
sea_P(x_y),3,sudden,OOB,13.0140737,687126118.4
sea_P(x_y),3,sudden,ESOS_ELM,348.3043501904,7154490163.2
sea_P(x_y),3,sudden,improved_UOB,5.1955973,428612812.8
sea_P(x_y),3,sudden,WEOB2,20.2548134,528422912.0
sea_P(x_y),3,sudden,UOB,6.470146,373844787.2
sea_P(x_y),3,sudden,RebalanceStream,27.315880100000005,2710240051.2
sea_P(x_y),2,sudden,improved_OOB,11.3610245,451458914.46153843
sea_P(x_y),2,sudden,WEOB1,15.785701500000002,514858598.4
sea_P(x_y),2,sudden,OOB,15.6000027,503969450.6666667
sea_P(x_y),2,sudden,ESOS_ELM,350.48237940909996,6736645324.8
sea_P(x_y),2,sudden,improved_UOB,5.5152351,339090227.2
sea_P(x_y),2,sudden,WEOB2,38.4201657,514858598.4
sea_P(x_y),2,sudden,UOB,6.502273499999999,277971763.2
sea_P(x_y),2,sudden,RebalanceStream,29.102367599999997,2742293299.2
sea_P(x_y),2,incremental,improved_OOB,9.0181307,593535385.6
sea_P(x_y),2,incremental,WEOB1,12.815674699999999,584205926.4
sea_P(x_y),2,incremental,OOB,12.2391967,602135347.2
sea_P(x_y),2,incremental,ESOS_ELM,361.2945906804,7165575987.2
sea_P(x_y),2,incremental,improved_UOB,5.0665251,258704042.66666666
sea_P(x_y),2,incremental,WEOB2,16.6191453,584205926.4
sea_P(x_y),2,incremental,UOB,6.0544413,339392512.0
sea_P(x_y),2,incremental,RebalanceStream,28.2254105,2269443909.818182
sea_P(x_y),4,incremental,improved_OOB,8.6019887,539902771.2
sea_P(x_y),4,incremental,WEOB1,14.5897714,644505600.0
sea_P(x_y),4,incremental,OOB,10.1761929,534888857.6
sea_P(x_y),4,incremental,ESOS_ELM,335.0779161017,7096233164.8
sea_P(x_y),4,incremental,improved_UOB,6.726527899999999,393881600.0
sea_P(x_y),4,incremental,WEOB2,17.1163021,644505600.0
sea_P(x_y),4,incremental,UOB,6.8504926,352861798.4
sea_P(x_y),4,incremental,RebalanceStream,30.3444761,2847705497.6
sea_P(x_y),4,sudden,improved_OOB,11.687962,568326963.2
sea_P(x_y),4,sudden,WEOB1,18.8831721,635767193.6
sea_P(x_y),4,sudden,OOB,11.838365099999999,545035729.4545455
sea_P(x_y),4,sudden,ESOS_ELM,371.8698132413,5584397926.4
sea_P(x_y),4,sudden,improved_UOB,8.290956000000001,435236864.0
sea_P(x_y),4,sudden,WEOB2,21.0144526,635767193.6
sea_P(x_y),4,sudden,UOB,7.4381231,562361548.8
sea_P(x_y),4,sudden,RebalanceStream,26.668838400000006,2791911014.4
sine_P(y),4,incremental,improved_OOB,6.0582679,505914982.4
sine_P(y),4,incremental,WEOB1,9.5689338,689242521.6
sine_P(y),4,incremental,OOB,8.295645100000002,537185075.2
sine_P(y),4,incremental,ESOS_ELM,263.4661833134,6592818380.8
sine_P(y),4,incremental,improved_UOB,4.8966716,329898325.3333333
sine_P(y),4,incremental,WEOB2,22.0146153,689242521.6
sine_P(y),4,incremental,UOB,8.121063399999999,475173273.6
sine_P(y),4,incremental,RebalanceStream,14.534393099999999,2225742643.2
sine_P(y),4,sudden,improved_OOB,7.773859400000001,431770282.6666667
sine_P(y),4,sudden,WEOB1,12.7095404,624166912.0
sine_P(y),4,sudden,OOB,8.8031104,577709670.4
sine_P(y),4,sudden,ESOS_ELM,259.5400938259,4899530193.454545
sine_P(y),4,sudden,improved_UOB,6.308149,400544563.2
sine_P(y),4,sudden,WEOB2,16.0386496,624166912.0
sine_P(y),4,sudden,UOB,8.8085239,587254169.6
sine_P(y),4,sudden,RebalanceStream,16.6244696,2113601126.4
