instances,drift,unbalance,type,alg,Fscore_min
10000,sea_P(y),1,incremental,OOB,97.52928437838366
15000,sea_P(y),1,incremental,OOB,97.93685320677608
20000,sea_P(y),1,incremental,OOB,98.2483997419739
25000,sea_P(y),1,incremental,OOB,98.43215280541186
30000,sea_P(y),1,incremental,OOB,98.5596503427039
35000,sea_P(y),1,incremental,OOB,98.67349843438657
40000,sea_P(y),1,incremental,OOB,98.76598608929773
45000,sea_P(y),1,incremental,OOB,98.83534136546187
50000,sea_P(y),1,incremental,OOB,99.12461380020595
55000,sea_P(y),1,incremental,OOB,98.95505058882068
60000,sea_P(y),1,incremental,OOB,98.22006472491908
65000,sea_P(y),1,incremental,OOB,97.75033083370091
70000,sea_P(y),1,incremental,OOB,98.07162534435261
75000,sea_P(y),1,incremental,OOB,98.26314537235307
80000,sea_P(y),1,incremental,OOB,98.31558567279767
85000,sea_P(y),1,incremental,OOB,98.4308597580909
90000,sea_P(y),1,incremental,OOB,98.46497348590565
95000,sea_P(y),1,incremental,OOB,98.52780143569775
100000,sea_P(y),1,incremental,OOB,98.62121376614915
5000,sea_P(y),1,incremental,ESOS_ELM,0.0
10000,sea_P(y),1,incremental,ESOS_ELM,0.0
15000,sea_P(y),1,incremental,ESOS_ELM,49.05116659456681
20000,sea_P(y),1,incremental,ESOS_ELM,65.33724163622098
25000,sea_P(y),1,incremental,ESOS_ELM,73.3951474662284
30000,sea_P(y),1,incremental,ESOS_ELM,78.33731221727939
35000,sea_P(y),1,incremental,ESOS_ELM,81.55373517196607
40000,sea_P(y),1,incremental,ESOS_ELM,83.88329142217103
45000,sea_P(y),1,incremental,ESOS_ELM,85.53165849108075
50000,sea_P(y),1,incremental,ESOS_ELM,96.86809695130935
55000,sea_P(y),1,incremental,ESOS_ELM,95.6306121095061
60000,sea_P(y),1,incremental,ESOS_ELM,88.2218776789872
65000,sea_P(y),1,incremental,ESOS_ELM,88.01298095293826
70000,sea_P(y),1,incremental,ESOS_ELM,88.07708821150977
75000,sea_P(y),1,incremental,ESOS_ELM,87.83175611210946
80000,sea_P(y),1,incremental,ESOS_ELM,87.57898135755394
85000,sea_P(y),1,incremental,ESOS_ELM,87.53595407340131
90000,sea_P(y),1,incremental,ESOS_ELM,87.89141037846142
95000,sea_P(y),1,incremental,ESOS_ELM,87.96859510043117
100000,sea_P(y),1,incremental,ESOS_ELM,87.73393634898284
5000,sea_P(y),1,incremental,improved_UOB,96.4788732394366
10000,sea_P(y),1,incremental,improved_UOB,97.42227469500197
15000,sea_P(y),1,incremental,improved_UOB,97.91021161579536
20000,sea_P(y),1,incremental,improved_UOB,98.16973364416447
25000,sea_P(y),1,incremental,improved_UOB,98.32233441997298
30000,sea_P(y),1,incremental,improved_UOB,98.46164025540078
35000,sea_P(y),1,incremental,improved_UOB,98.57520689360977
40000,sea_P(y),1,incremental,improved_UOB,98.68001593943016
45000,sea_P(y),1,incremental,improved_UOB,98.70749208896018
50000,sea_P(y),1,incremental,improved_UOB,99.12506433350487
55000,sea_P(y),1,incremental,improved_UOB,98.77442861874793
