instances,drift,unbalance,type,alg,Recall_min
55000,sea_P(y),3,incremental,ESOS_ELM,77.1410921670373
60000,sea_P(y),3,incremental,ESOS_ELM,75.33290239172594
65000,sea_P(y),3,incremental,ESOS_ELM,75.70102751077228
70000,sea_P(y),3,incremental,ESOS_ELM,74.84128745837958
75000,sea_P(y),3,incremental,ESOS_ELM,75.42483660130719
80000,sea_P(y),3,incremental,ESOS_ELM,75.07823993580313
85000,sea_P(y),3,incremental,ESOS_ELM,75.31438127090301
90000,sea_P(y),3,incremental,ESOS_ELM,75.34897079942557
95000,sea_P(y),3,incremental,ESOS_ELM,75.35618504860881
100000,sea_P(y),3,incremental,ESOS_ELM,75.21978840709284
5000,sea_P(y),3,incremental,improved_UOB,75.71315372424725
10000,sea_P(y),3,incremental,improved_UOB,75.46831406935033
15000,sea_P(y),3,incremental,improved_UOB,75.42011202987463
20000,sea_P(y),3,incremental,improved_UOB,75.15042117930204
25000,sea_P(y),3,incremental,improved_UOB,75.13057452792285
30000,sea_P(y),3,incremental,improved_UOB,74.94486399786139
35000,sea_P(y),3,incremental,improved_UOB,74.95406522737711
40000,sea_P(y),3,incremental,improved_UOB,74.79772852907182
45000,sea_P(y),3,incremental,improved_UOB,74.71748878923766
50000,sea_P(y),3,incremental,improved_UOB,75.82368655387356
55000,sea_P(y),3,incremental,improved_UOB,75.5374351371386
60000,sea_P(y),3,incremental,improved_UOB,74.4020685197156
65000,sea_P(y),3,incremental,improved_UOB,74.61054027179317
70000,sea_P(y),3,incremental,improved_UOB,73.7402885682575
75000,sea_P(y),3,incremental,improved_UOB,74.39249203955087
80000,sea_P(y),3,incremental,improved_UOB,74.12063661896481
85000,sea_P(y),3,incremental,improved_UOB,74.38127090301005
90000,sea_P(y),3,incremental,improved_UOB,74.4566778362853
95000,sea_P(y),3,incremental,improved_UOB,74.52229299363057
